BreedName,AltBreedName,Group1,Group2,MaleWtKg,Temperment,Watchdog,Type of home required ,Barking ability,Kid friendly,Eating habits,Independence ,activity level,Shedding,BreedName
English Shepherd,,Herding,Herding,25,"Adaptable, Alert, Courageous, Energetic, Friendly, Independent, Intelligent, Playful, Responsibe",yes,,,,,,,,English Shepherd
English Springer Spaniel,,Sporting,Gun,23,"Affectionate, Alert, Cheerful, Energetic, Intelligent, Playful, Social",no,,,,,,,,English Springer Spaniel
English Toy Spaniel,Blenheim Spaniel,Toy,Companion,5,"Affectionate, Gentle, Happy, Loving, Playful, Reserved",no,,,,,,,,English Toy Spaniel
Entlebucher,,Herding,Guardian,27,"Agile, Devoted, Independent, Loyal, Self-confident",yes,,,,,,,,Entlebucher
Eskimo Dog,,Non Sporting,Northern,8,"Alert, Energetic, Friendly, Independent, Intelligent, Protective",yes,,,,,,,,Eskimo Dog
Feist,,Terrier,Terrier,15,"Agile, Alert, Lovable, Spirited, Swift",yes,,,,,,,,Feist
Field Spaniel,,Sporting,Gun,19,"Adaptable, Cautious, Docile, Familial, Sensitive, Sociable",no,,,,,,,,Field Spaniel
Fila Brasileiro,,Working,Guardian,46,"Brave, Courageous, Determined, Docile, Loyal, Obedient",yes,,,,,,,,Fila Brasileiro
Finnish Lapphund,,Herding,Northern,18,"Calm, Courageous, Faithful, Friendly, Keen",yes,,,,,,,,Finnish Lapphund
Finnish Spitz,,Non Sporting,Northern,15,"Happy, Independent, Intelligent, Loyal, Playful, Vocal",no,,,,,,,,Finnish Spitz
Flat-coated Retriever,,Sporting,Gun,30,"Friendly, Confident, Devoted, Optimistic, Outgoing, Intelligent",yes,,,,,,,,Flat-coated Retriever
Fox Terrier,,Terrier,Terrier,8,"Active, Affectionate, Alert, Fearless, Intelligent, Playful",no,,,,,,,,Fox Terrier
Foxhound,,Hound,Scenthound,32,"Independent, Intelligent, Kind, Loving, Loyal, Sweet-tempered",no,,,,,,,,Foxhound
French Bulldog,,Non Sporting,Companion,12,"Affectionate, Playful, Alert, Athletic, Bright, Easygoing, Keen, Lively, Patient",no,,,,,,,,French Bulldog
Gaddi,,,,,,,,,,,,,,Gaddi
Galgo Spanish Greyhound,,Hound,Sight,25,"Affectionate, Calm, Quiet, Gentle",no,,,,,,,,Galgo Spanish Greyhound
German Pinscher,,Working,Terrier,14,"Even-tempered, Familial, Courageous, Lively, Loving, Spirited",yes,,,,,,,,German Pinscher
German Shepherd Dog,German Shepherd,Herding,Herding,35,"Alert, Confident, Courageous, Curious, Intelligent, Loyal, Obedient, Watchful",yes,,,,,,,,German Shepherd Dog
German Shorthaired Pointer,German Short Haired Pointer,Working,Gun,29,"Affectionate, Boisterous, Bold, Cooperative, Intelligent, Trainable",no,,,,,,,,German Shorthaired Pointer
German Spitz,,Non Sporting,Northern,8,"Alert, Energetic, Friendly, Independent, Intelligent, Protective",yes,,,,,,,,German Spitz
German Wirehaired Pointer,,Sporting,Gun,30,"Active, Affectionate, Friendly, Intelligent, Loyal, Willful, Responsive",yes,,,,,,,,German Wirehaired Pointer
Giant Schnauzer,,Working,Companion,38,"Dominant, Intelligent, Kind, Loyal, Powerful, Strong-willed",yes,,,,,,,,Giant Schnauzer
Glen of Imaal Terrier,,Terrier,Terrier,16,"Active, Agile, Courageous, Gentle, Loyal, Spirited",no,,,,,,,,Glen of Imaal Terrier
Golden Retriever,,Sporting,Gun,32,"Confident, Friendly, Intelligent, Kind, Reliable, Trustworthy",no,,,,,,,,Golden Retriever
Gordon Setter,,Sporting,Gun,31,"Alert, Confident, Eager, Fearless, Loyal, Intelligent",yes,,,,,,,,Gordon Setter
Great Dane,,Working,Guardian,77,"Friendly, Confident, Devoted, Intelligent, Gentle, Loving, Reserved",yes,,,,,,,,Great Dane
Great Pyrenees,,Working,Guardian,45,"Affectionate, Confident, Fearless, Gentle, Patient, Strong-willed",yes,,,,,,,,Great Pyrenees
Greater Swiss Mountain Dog,,Working,Guardian,60,"Alert, Devoted, Fearless, Good-natured, Protective, Self-confident",yes,,,,,,,,Greater Swiss Mountain Dog
Greyhound,,Hound,Sight,33,"Intelligent, Gentle, Affectionate, Athletic, Even-tempered, Quiet",no,,,,,,,,Greyhound
Gull Dong,,,,,,,,,,,,,,Gull Dong
Gull terrier,,,,,,,,,,,,,,Gull terrier
Harrier,,Hound,Scenthound,22,"Active, Cheerful, Friendly, Outgoing, Sweet-tempered, Tolerant",no,,,,,,,,Harrier
Havanese,,Toy,Companion,5,"Affectionate, Companionable, Gentle, Intelligent, Playful, Responsive",no,,,,,,,,Havanese
Hound,,Hound,Scenthound,32,"Independent, Intelligent, Kind, Loving, Loyal, Sweet-tempered",no,,,,,,,,Hound
Hovawart,,Working,Guardian,38,"Watchful, Even-tempered, Reserved, Active, Devoted",yes,,,,,,,,Hovawart
Husky,,Working,Northern,24,"Alert, Friendly, Gentle, Intelligent, Outgoing",no,,,,,,,,Husky
Ibizan Hound,,Hound,Sight,22,"Active, Clownish, Engaging, Independent, Intelligent, Stubborn",no,,,,,,,,Ibizan Hound
Illyrian Sheepdog,,Herding,Herding,40,"Independent, Reliable, Devoted, Protective",yes,,,,,,,,Illyrian Sheepdog
Indian Mastif,Bully Kutta,,,,,,,,,,,,,Indian Mastif
Indian Pariah Dog,,,,,,,,,,,,,,Indian Pariah Dog
Indian Spitz,,,,,,,,,,,,,,Indian Spitz
Irish Setter,,Sporting,Gun,32,"Affectionate, Companionable, Energetic, Independent, Lively, Playful, Intelligent",no,,,,,,,,Irish Setter
Irish Terrier,,Terrier,Terrier,12,"Dominant, Intelligent, Lively, Protective, Respectful, Trainable",yes,,,,,,,,Irish Terrier
Irish Water Spaniel,,Sporting,Gun,25,"Active, Alert, Clownish, Inquisitive, Intelligent, Quick",no,,,,,,,,Irish Water Spaniel
Irish Wolfhound,,Hound,Scenthound,55,"Dignified, Generous, Loyal, Patient, Sweet-tempered, Thoughtful, Intelligent",no,,,,,,,,Irish Wolfhound
Italian Greyhound,,Toy,Companion,4,"Affectionate, Agile, Athletic, Companionable, Intelligent, Mischevious",no,,,,,,,,Italian Greyhound
Italian Spinone,,Sporting,Gun,33,"Friendly, Loyal, Affectionate, Docile, Gentle, Patient",no,,,,,,,,Italian Spinone
Jack Russell Terrier,,Terrier,Terrier,7,"Alert, Cheerful, Courageous, Energetic, Independent",yes,,,,,,,,Jack Russell Terrier
Jack Russell Terrier (Parson Russell Terrier),,Terrier,Terrier,7,"Energetic, Bold, Eager, Happy, Intelligent, Obedient",no,,,,,,,,Jack Russell Terrier (Parson Russell Terrier)
Japanese Chin,Japanese Spaniel,Toy,Companion,5,"Alert, Cat-like, Independent, Intelligent, Loving, Loyal, Playful",no,,,,,,,,Japanese Chin
Jindo,,Sporting,Northern,20,"Active, Bold, Brave, Faithful, Intelligent, Loyal",yes,,,,,,,,Jindo
Jonangi,,,,,,,,,,,,,,Jonangi
Kai Dog,,Non Sporting,Northern,18,"Intelligent, Agile, Alert, Brave",yes,,,,,,,,Kai Dog
Kanni,Chippiparai,,,,,,,,,,,,,Kanni
Karelian Bear Dog,,Sporting,Northern,22,"Brave, Cautious, Loyal, Independent, Tenacious, Territorial",yes,,,,,,,,Karelian Bear Dog
Keeshond,,Non Sporting,Northern,18,"Agile, Bright, Obedient, Playful, Quick, Sturdy, Intelligent",yes,,,,,,,,Keeshond
Kerry Blue Terrier,,Terrier,Terrier,17,"Affectionate, Alert, Gentle, Loyal, Spirited, Strong-willed, Intelligent",yes,,,,,,,,Kerry Blue Terrier
Kishu,,Sporting,Northern,20,"Alert, Dignified, Docile, Faithful, Noble",yes,,,,,,,,Kishu
Klee Kai,,Non Sporting,Northern,7,"Active, Agile, Curious, Intelligent, Loyal, Quick, Territorial",yes,,,,,,,,Klee Kai
Kombai,Combai,,,,,,,,,,,,,Kombai
Komondor,,Working,Guardian,59,"Affectionate, Calm, Fearless, Gentle, Independent, Steady",yes,,,,,,,,Komondor
Kumaon Mastiff,,,,,,yes,,,,,,,,Kumaon Mastiff
Kuvasz,,Working,Guardian,49,"Clownish, Independent, Intelligent, Loyal, Patient, Protective",yes,,,,,,,,Kuvasz
Kyi Leo,,Non Sporting,Companion,5,"Active, Calm, Forgiving, Obedient, Playful, Quiet",no,,,,,,,,Kyi Leo
Labrador Retriever,,Sporting,Gun,32,"Affectionate, Alert, Cheerful, Energetic, Friendly, Gentle, Intelligent, Loving, Loyal, Outgoing, Playful, Responsive, Social",no,,,,,,,,Labrador Retriever
Lakeland Terrier,,Terrier,Terrier,8,"Independent, Bold, Confident, Friendly, Intelligent, Trainable",no,,,,,,,,Lakeland Terrier
Lancashire Heeler,,Herding,Herding,5,"Alert, Clever, Friendly, Intelligent",no,,,,,,,,Lancashire Heeler
Leonberger,,Working,Guardian,64,"Adaptable, Companionable, Fearless, Loving, Loyal, Obedient",yes,,,,,,,,Leonberger
Lhasa Apso,,Non Sporting,Companion,6,"Alert, Assertive, Devoted, Friendly, Intelligent, Lively, Obedient, Playful, Spirited, Steady",no,,,,,,,,Lhasa Apso
Lowchen,,Non Sporting,Companion,6,"Active, Familial, Friendly, Happy, Playful",no,,,,,,,,Lowchen
Mahratta Greyhound,,,,,,,,,,,,,,Mahratta Greyhound
Maltese,Maltese Dog,Toy,Companion,4,"Active, Docile, Easygoing, Gentle, Intelligent, Playful, Responsive, Sweet-tempered",no,,,,,,,,Maltese
Manchester Terrier,,Terrier,Terrier,6,"Active, Alert, Devoted, Discerning, Quiet, Loyal, Intelligent",no,,,,,,,,Manchester Terrier
Maremma Sheepdog,,Working,Guardian,38,"Alert, Determined, Dignified, Friendly, Intelligent, Loyal",yes,,,,,,,,Maremma Sheepdog
Mastiff,,Working,Guardian,90,"Affectionate, Alert, Cheerful, Courageous, Intelligent, Loyal, Protective",yes,,,,,,,,Mastiff
