BreedName,Group1,Group2,WtKg,Country,Maintainence cost per month,Temperment,Watchdog,Type of home required ,Barking ability,Kid friendly,Diet,Independence ,activity level,Shedding,Weather,hypoallergenic
Pug,Toy,Companion,8 kg,India,4000 Rs - 5000 Rs,"Affectionate, Cheerful, Courageous, Gentle, Intelligent, Friendly, Outgoing, Playful, Loyal",No,Apartment ,Low,Yes,Doen't require meat,Not independent,Medium,Frequent,Warm,No
Rampur greyhound,Hunting,Guardian,30 kg,India,2000 Rs - 3000 Rs,"Loyal, Protective, Gentle",Yes,Ranch,High,Yes,Meat rich,Moderate,High,Low,Hot,No
Rajapalayam,Hunting,Guardian,22 kg,India,3000 Rs - 15000 Rs,"Affectionate, Devoted, Loyal",Yes,Ranch,High,Yes,Meat rich,Very independent,High,Low,Hot,No
Rhodesian Ridgeback,Hound,Sight,39 kg,India,2000 Rs - 3000 Rs,"Dignified, Intelligent, Loyal, Mischevious, Sensitive, Strong willed",No,Ranch,Low,Yes,Meat rich,Not independent,High,Frequent,Warm,No
Rottweiler,Working,Guardian,51 kg,India,3000 Rs - 4000 Rs,"Alert, Courageous, Fearless, Good natured, Independent, Intelligent, Loyal, Protective",Yes,Ranch,High,Yes,Meat rich,Not independent,High,Frequent,Warm,No
Saint Bernard,Working,Guardian,66 kg,India,5000 Rs - 7000 Rs,"Friendly, Gentle, Independent, Intelligent, Outgoing, Quiet, Social",No,Ranch,Low,Yes,Meat rich,Not independent,Medium,Frequent,Cold,No
Saluki,Hound,Sight,21 kg,India,3000 Rs - 4000 Rs,"Aloof, Intelligent, Quiet, Reserverd, Loyal",No,Ranch,Low,Yes,Doen't require meat,Not independent,High,Low,Warm,No
Shar Pei,Non Sporting,Northern,22 kg,India,3000 Rs - 4000 Rs,"Affectionate, Devoted, Independent, Loving, Reserved, Suspicious",No,Apartment ,High,No,Doen't require meat,Very independent,Low,Frequent,Warm,No
Shih Tzu,Toy,Companion,6 kg,India,2000 Rs - 3000 Rs,"Active, Courageous, Friendly, Gentle, Happy, Intelligent, Lively, Outgoing, Playful",No,Apartment ,Low,Yes,Doen't require meat,Moderate,Low,Seasonal,Warm,Yes
Tibetan Mastiff,Working,Guardian,71 kg,India,7000 Rs - 10000 Rs,"Aloof, Protective, Strong willed, Stubborn, Courageous, Loyal",Yes,Ranch,Low,Yes,Meat rich,Very independent,High,Low,Cold,No
Tibetan Spaniel,Non Sporting,Companion,6 kg,India,3000 Rs - 4000 Rs,"Intelligent, Assertive, Aloof, Happy, Independent, Willful",Yes,Apartment ,High,Yes,Doen't require meat,Not independent,Medium,Seasonal,Warm,No
Tibetan Terrier,Non Sporting,Companion,10 kg,India,3000 Rs - 4000 Rs,"Affectionate, Amiable, Energetic, Gentle, Reserved, Sensitive, Intelligent",No,Apartment ,Low,Yes,Doen't require meat,Not independent,High,Low,Cold,No
Weimaraner,Sporting,Gun,29 kg,India,3000 Rs - 4000 Rs,"Alert, Aloof, Energetic, Fast, Intelligent, Powerful, Steady, Stubborn, Social",No,Ranch,Low,Yes,Meat rich,Not independent,High,Frequent,Warm,No
Yorkshire Terrier Yorkie,Toy,Companion,3 kg,India,3000 Rs - 4000 Rs,"Alert, Courageous, Energetic, Independent, Intelligent, Loyal, Playful",No,Apartment ,Moderate,No,Doen't require meat,Not independent,High,Low,Hot,Yes
